symbol,window,ratio,window_start,avg_close,prev_avg_close,pct_change,industry,companyName,window_start_str,summary
CRM,2 weeks,0.05,2016-05-16 00:00:00+08:00,8103.829550717925,7529.945890760592,7.62,Software - Application,"Salesforce, Inc.",2016-05-16,
CRM,2 weeks,0.05,2016-11-28 00:00:00+08:00,7104.3404408241495,7526.761336515514,-5.61,Software - Application,"Salesforce, Inc.",2016-11-28,
CRM,2 weeks,0.05,2017-01-09 00:00:00+08:00,7507.039110861002,7078.6965865992415,6.05,Software - Application,"Salesforce, Inc.",2017-01-09,
CRM,2 weeks,0.05,2018-01-08 00:00:00+08:00,10982.767316935257,10427.734056122448,5.32,Software - Application,"Salesforce, Inc.",2018-01-08,
CRM,2 weeks,0.05,2018-02-19 00:00:00+08:00,11652.47418879056,10896.729689440994,6.94,Software - Application,"Salesforce, Inc.",2018-02-19,
CRM,2 weeks,0.05,2018-03-05 00:00:00+08:00,12597.339476236664,11652.47418879056,8.11,Software - Application,"Salesforce, Inc.",2018-03-05,
CRM,2 weeks,0.05,2018-03-19 00:00:00+08:00,11907.246216978712,12597.339476236664,-5.48,Software - Application,"Salesforce, Inc.",2018-03-19,
CRM,2 weeks,0.05,2018-07-09 00:00:00+08:00,14586.073110893032,13690.100143884893,6.54,Software - Application,"Salesforce, Inc.",2018-07-09,
CRM,2 weeks,0.05,2018-10-15 00:00:00+08:00,14169.218053927316,15076.459262737731,-6.02,Software - Application,"Salesforce, Inc.",2018-10-15,
CRM,2 weeks,0.05,2018-11-12 00:00:00+08:00,12755.013676588898,13704.102637205988,-6.93,Software - Application,"Salesforce, Inc.",2018-11-12,
CRM,2 weeks,0.05,2018-11-26 00:00:00+08:00,13712.587246777164,12755.013676588898,7.51,Software - Application,"Salesforce, Inc.",2018-11-26,
CRM,2 weeks,0.05,2019-01-07 00:00:00+08:00,14698.663593380616,13236.607329842933,11.05,Software - Application,"Salesforce, Inc.",2019-01-07,
CRM,2 weeks,0.05,2019-02-04 00:00:00+08:00,15873.388106042512,14919.470852017936,6.39,Software - Application,"Salesforce, Inc.",2019-02-04,
CRM,2 weeks,0.05,2019-08-05 00:00:00+08:00,14238.726421717764,15628.936608187136,-8.9,Software - Application,"Salesforce, Inc.",2019-08-05,
CRM,2 weeks,0.05,2019-08-19 00:00:00+08:00,15132.39922163048,14238.726421717764,6.28,Software - Application,"Salesforce, Inc.",2019-08-19,
CRM,2 weeks,0.05,2019-10-28 00:00:00+08:00,15758.26932545544,14671.517053529133,7.41,Software - Application,"Salesforce, Inc.",2019-10-28,
CRM,2 weeks,0.05,2020-01-06 00:00:00+08:00,17923.57443289225,16428.0178919974,9.1,Software - Application,"Salesforce, Inc.",2020-01-06,
CRM,2 weeks,0.05,2020-03-02 00:00:00+08:00,15985.471723824665,18296.46947018294,-12.63,Software - Application,"Salesforce, Inc.",2020-03-02,
CRM,2 weeks,0.05,2020-03-16 00:00:00+08:00,14125.018123422804,15985.471723824665,-11.64,Software - Application,"Salesforce, Inc.",2020-03-16,
CRM,2 weeks,0.05,2020-04-13 00:00:00+08:00,15570.230054774946,14398.887231815805,8.13,Software - Application,"Salesforce, Inc.",2020-04-13,
CRM,2 weeks,0.05,2020-05-11 00:00:00+08:00,17470.880349964533,16244.14615747289,7.55,Software - Application,"Salesforce, Inc.",2020-05-11,
CRM,2 weeks,0.05,2020-08-17 00:00:00+08:00,23016.4194454852,19892.13289118153,15.71,Software - Application,"Salesforce, Inc.",2020-08-17,
CRM,2 weeks,0.05,2020-08-31 00:00:00+08:00,25907.926669780474,23016.4194454852,12.56,Software - Application,"Salesforce, Inc.",2020-08-31,
CRM,2 weeks,0.05,2020-09-14 00:00:00+08:00,24433.293162588612,25907.926669780474,-5.69,Software - Application,"Salesforce, Inc.",2020-09-14,
CRM,2 weeks,0.05,2020-10-26 00:00:00+08:00,24397.13542376733,25837.641098484848,-5.58,Software - Application,"Salesforce, Inc.",2020-10-26,
CRM,2 weeks,0.05,2020-11-23 00:00:00+08:00,23867.112625963247,25593.362803481446,-6.74,Software - Application,"Salesforce, Inc.",2020-11-23,
CRM,2 weeks,0.05,2020-12-07 00:00:00+08:00,22500.240444444444,23867.112625963247,-5.73,Software - Application,"Salesforce, Inc.",2020-12-07,
CRM,2 weeks,0.05,2021-02-08 00:00:00+08:00,24260.938707185167,23002.37807986406,5.47,Software - Application,"Salesforce, Inc.",2021-02-08,
CRM,2 weeks,0.05,2021-02-22 00:00:00+08:00,22238.354425389316,24260.938707185167,-8.34,Software - Application,"Salesforce, Inc.",2021-02-22,
CRM,2 weeks,0.05,2021-04-05 00:00:00+08:00,22675.03518299882,21171.57579683856,7.1,Software - Application,"Salesforce, Inc.",2021-04-05,
CRM,2 weeks,0.05,2021-05-03 00:00:00+08:00,21631.63548539114,23258.51350048216,-6.99,Software - Application,"Salesforce, Inc.",2021-05-03,
CRM,2 weeks,0.05,2021-08-23 00:00:00+08:00,26543.38477936474,24928.38157581528,6.48,Software - Application,"Salesforce, Inc.",2021-08-23,
CRM,2 weeks,0.05,2021-10-18 00:00:00+08:00,29377.237394451146,27831.274767247553,5.55,Software - Application,"Salesforce, Inc.",2021-10-18,
CRM,2 weeks,0.05,2021-11-29 00:00:00+08:00,26766.806319244974,29944.93501702611,-10.61,Software - Application,"Salesforce, Inc.",2021-11-29,
CRM,2 weeks,0.05,2021-12-13 00:00:00+08:00,25419.95762260128,26766.806319244974,-5.03,Software - Application,"Salesforce, Inc.",2021-12-13,
CRM,2 weeks,0.05,2022-01-10 00:00:00+08:00,22928.617341640704,24656.447307869304,-7.01,Software - Application,"Salesforce, Inc.",2022-01-10,
CRM,2 weeks,0.05,2022-03-21 00:00:00+08:00,21398.765568646308,20118.466028708135,6.36,Software - Application,"Salesforce, Inc.",2022-03-21,
CRM,2 weeks,0.05,2022-04-04 00:00:00+08:00,20080.73627243928,21398.765568646308,-6.16,Software - Application,"Salesforce, Inc.",2022-04-04,
CRM,2 weeks,0.05,2022-04-18 00:00:00+08:00,18005.400662251657,20080.73627243928,-10.33,Software - Application,"Salesforce, Inc.",2022-04-18,
CRM,2 weeks,0.05,2022-05-02 00:00:00+08:00,16978.72868582195,18005.400662251657,-5.7,Software - Application,"Salesforce, Inc.",2022-05-02,
CRM,2 weeks,0.05,2022-05-16 00:00:00+08:00,16006.590610328638,16978.72868582195,-5.73,Software - Application,"Salesforce, Inc.",2022-05-16,
CRM,2 weeks,0.05,2022-05-30 00:00:00+08:00,18126.421806421808,16006.590610328638,13.24,Software - Application,"Salesforce, Inc.",2022-05-30,
CRM,2 weeks,0.05,2022-06-13 00:00:00+08:00,16844.202300052275,18126.421806421808,-7.07,Software - Application,"Salesforce, Inc.",2022-06-13,
CRM,2 weeks,0.05,2022-07-25 00:00:00+08:00,18235.948587979725,17221.00266990291,5.89,Software - Application,"Salesforce, Inc.",2022-07-25,
CRM,2 weeks,0.05,2022-08-22 00:00:00+08:00,16564.575998282526,18758.55762261416,-11.7,Software - Application,"Salesforce, Inc.",2022-08-22,
CRM,2 weeks,0.05,2022-09-05 00:00:00+08:00,15691.478225367448,16564.575998282526,-5.27,Software - Application,"Salesforce, Inc.",2022-09-05,
CRM,2 weeks,0.05,2022-09-19 00:00:00+08:00,14878.058837485172,15691.478225367448,-5.18,Software - Application,"Salesforce, Inc.",2022-09-19,
CRM,2 weeks,0.05,2022-10-17 00:00:00+08:00,15809.418996995608,14827.607894736842,6.62,Software - Application,"Salesforce, Inc.",2022-10-17,
CRM,2 weeks,0.05,2022-11-28 00:00:00+08:00,14146.316175014848,15244.759977979633,-7.21,Software - Application,"Salesforce, Inc.",2022-11-28,
CRM,2 weeks,0.05,2022-12-12 00:00:00+08:00,13089.874707807388,14146.316175014848,-7.47,Software - Application,"Salesforce, Inc.",2022-12-12,
CRM,2 weeks,0.05,2023-01-09 00:00:00+08:00,14717.140897755611,13414.485975958785,9.71,Software - Application,"Salesforce, Inc.",2023-01-09,
CRM,2 weeks,0.05,2023-01-23 00:00:00+08:00,16382.158031649686,14717.140897755611,11.31,Software - Application,"Salesforce, Inc.",2023-01-23,
CRM,2 weeks,0.05,2023-03-06 00:00:00+08:00,18289.981651376147,17129.573735955055,6.77,Software - Application,"Salesforce, Inc.",2023-03-06,
CRM,2 weeks,0.05,2023-05-15 00:00:00+08:00,20919.926393520724,19832.672633643942,5.48,Software - Application,"Salesforce, Inc.",2023-05-15,
CRM,2 weeks,0.05,2023-07-10 00:00:00+08:00,22644.922413793105,21079.707740466703,7.43,Software - Application,"Salesforce, Inc.",2023-07-10,
CRM,2 weeks,0.05,2023-08-07 00:00:00+08:00,20978.78693437219,22296.524872603735,-5.91,Software - Application,"Salesforce, Inc.",2023-08-07,
CRM,2 weeks,0.05,2023-08-21 00:00:00+08:00,22175.444186046512,20978.78693437219,5.7,Software - Application,"Salesforce, Inc.",2023-08-21,
CRM,2 weeks,0.05,2023-09-18 00:00:00+08:00,20796.787546699878,22086.169714900483,-5.84,Software - Application,"Salesforce, Inc.",2023-09-18,
CRM,2 weeks,0.05,2023-11-13 00:00:00+08:00,22140.64396551724,20710.548907646476,6.91,Software - Application,"Salesforce, Inc.",2023-11-13,
CRM,2 weeks,0.05,2023-11-27 00:00:00+08:00,24457.902821981752,22140.64396551724,10.47,Software - Application,"Salesforce, Inc.",2023-11-27,
CRM,2 weeks,0.05,2023-12-11 00:00:00+08:00,26063.047495885257,24457.902821981752,6.56,Software - Application,"Salesforce, Inc.",2023-12-11,
CRM,2 weeks,0.05,2024-01-22 00:00:00+08:00,28243.582486695697,26871.995668651867,5.1,Software - Application,"Salesforce, Inc.",2024-01-22,
CRM,2 weeks,0.05,2024-02-19 00:00:00+08:00,30857.85460992908,28817.59215396003,7.08,Software - Application,"Salesforce, Inc.",2024-02-19,
